Frame,Reps,Hip Angle,Knee Angle,Back Angle,Error_Back_Straightness,Error_Knee_Caving,Error_Hip_Depth
57,2,93.98830916362674,105.24463823641399,179.48893136228844,1,1,0
58,2,122.41909006249324,136.15033630935017,168.80451593890376,0,0,1
59,2,83.38170620161758,141.91997853930252,170.9152339026876,1,0,0
60,2,162.39000656421217,107.11854248263107,161.10433825123488,0,0,1
61,2,86.56488472992875,107.81757986818434,163.395088416415,1,1,0
62,2,131.51552017862178,124.36289650264057,177.7808915602862,0,0,1
63,2,87.51918976978783,138.41878584141483,179.63488582645238,1,1,1
64,2,82.755353467893,101.73419303036005,164.81360412777036,1,1,0
65,2,109.54405648263622,159.88774795819788,164.4695595092146,1,1,0
66,2,141.01932609350402,143.65932588608894,176.63656498095253,0,0,1
67,2,124.26429840060464,149.8358312585625,164.59524825170143,0,1,0
68,2,85.86500046661006,90.51582870609974,179.62109018120466,0,0,0
69,2,143.971054707933,92.4017381716283,167.83496811988022,0,0,0
70,2,95.154867287078,90.8162021386197,178.66981467926627,0,1,0
71,2,137.20467441323052,127.40139251907127,161.2605710303484,0,0,0
72,2,136.81022037797302,101.21915488770813,172.98383592588226,1,0,0
73,2,147.94680405877972,73.09322835515108,163.85136042087143,0,0,1
74,2,81.42621407940742,154.46300777240032,165.6901539802118,1,1,0
75,3,104.73351974485544,117.74057893612667,172.4723277518012,0,1,1
76,3,91.16496898047127,99.41026473987105,176.33399770412555,0,1,0
77,3,112.39402713889362,154.8323134090153,175.99807662076896,1,1,0
78,3,99.59264338648656,116.13187392722284,176.39787642763272,1,0,0
79,3,151.90003216392336,88.22331428884553,174.05138988004518,0,0,1
80,3,106.81117776531204,116.63848572289201,170.19094722356144,1,1,1
81,3,121.3914418449022,158.72813957801037,179.94587471346352,1,0,0
82,3,116.01262150381626,106.22116508089604,169.23745489154322,1,0,0
83,3,122.64681276269349,123.1238453690575,177.38468101295686,1,0,0
84,3,110.879707673847,102.15784448360796,166.83464943338566,1,1,0
85,3,99.4017135322826,71.00111477598182,172.99489494705594,1,1,1
86,3,92.42750002806761,152.09490131076373,167.83297020027373,0,0,0
87,3,134.85563764187617,156.21201408681986,163.08692472787445,0,1,1
88,3,113.830836428357,106.46132548676611,176.48641715675762,1,1,0
89,3,80.04730178916193,119.24782933294904,172.4943366820109,0,0,0
90,3,117.86262388301876,127.9763055089519,176.0676762638161,1,1,0
91,3,132.53396881462146,108.60766488649242,170.69584501036306,1,0,1
92,3,134.79959008759735,110.0794600027761,166.04318614732438,0,1,0
93,3,90.40693304711228,79.22546844506027,165.36538737390956,0,1,0
94,3,91.07304982678016,117.79165276248827,173.0619076443244,1,0,1
95,3,121.26940475956442,92.8324151443309,174.01825529650847,0,1,1
96,3,124.20480564017176,98.47771637581685,173.87930430297823,1,1,1
97,3,148.201237054758,71.07034514733796,172.33674653966904,1,0,1
98,3,161.8922897839757,122.67907589050326,162.5120368967578,0,0,1
99,3,149.91226229545617,137.21141079196855,179.00724646230134,0,0,1
100,3,122.077056965223,131.79059411827666,172.4159911857272,0,1,1
101,3,147.14283869097687,112.27214277425284,164.8270957029205,1,0,0
102,3,104.0214762114932,111.86905189006805,161.9187635495857,1,1,1
103,3,96.22605855482954,102.94796057789029,172.96913197732192,0,1,0
104,3,138.37646621217658,145.492303075193,178.09095837901805,0,1,1
105,3,98.69655123104693,79.06877308302288,174.69820967255686,0,0,1
106,3,83.97407103310987,157.7285127329926,178.224427935795,1,1,0
107,3,86.96592228726416,75.11251892425327,164.48189657868727,1,1,0
108,3,118.28917672709758,119.63771871376872,164.5653475815311,1,1,0
109,3,124.56262221714346,111.72877379496867,176.9627689228337,1,0,1
110,3,139.6911235599561,86.09231103420841,165.22326050747765,0,1,1
111,3,168.31383268534427,92.72059685050085,174.18359546989683,1,1,1
112,4,117.91824000728438,113.8921279573574,160.81593451299835,0,0,0
113,4,158.83314787385626,116.4987866647846,175.23346315143922,1,0,1
114,4,124.91494178122737,79.87302930149036,171.56521103864225,1,0,0
115,4,82.21387957050216,121.26263401854445,163.3982418351014,1,1,1
116,4,139.18162418747943,156.17884886972786,168.52201443963358,1,1,1
117,4,89.9587177599654,92.49764824500423,169.57004891491508,0,0,1
118,4,155.02955787377715,95.5447356174206,168.1851316690609,0,1,0
119,4,100.1829344260511,127.40430624928557,161.48351330749497,1,0,0
120,4,117.68813528728052,112.75574892703135,161.45771511245366,0,0,0
121,4,148.7945784687566,158.63541686265697,171.7142528689254,1,1,0
122,4,148.7136574390135,85.14683564970649,164.49730338880525,0,1,0
123,4,127.98208152695196,124.94551241746909,174.45053082713162,1,1,1
124,4,82.86763122075571,77.4888088421114,169.70821901535436,0,1,0
125,4,139.08400957155112,131.50763099190092,163.02191951385052,1,0,0
126,4,116.95173054499284,118.0047262649278,177.783920953474,1,1,1
127,4,115.79377235954276,93.14601616857718,168.89573127252874,1,0,0
128,4,115.72059896888891,107.82485357484968,178.74517515136577,1,0,0
129,4,144.31493919453598,91.11885709299679,179.93658105883225,0,1,0
130,4,163.07989837356425,126.05715319008965,168.7947301986846,1,0,1
131,4,130.37483361086743,81.23711393795463,178.9079276264507,1,1,0
132,4,81.6826289309735,103.36671263512723,165.55120231104974,1,0,0
133,4,154.4955458644136,96.7095902214835,178.99108637402531,0,1,1
134,4,151.99212001091837,123.05672205428674,172.85705973143965,0,1,1
135,4,81.57134053082895,84.26414316385092,177.79773590546944,0,1,0
136,4,105.81840220396488,143.01094501579036,178.24772547355911,1,1,1
137,4,135.73945828265215,155.48896524046063,175.6812269673254,1,0,0
138,4,138.64597443563852,108.86124727622902,174.50611202503083,0,1,0
139,4,143.37862266565423,158.58135667702766,176.3127135953085,1,1,0
140,4,122.46600148678446,111.66516425919922,170.6408653511767,1,0,0
141,4,122.2289751747965,95.9392679959598,171.7959882079476,0,1,0
142,4,111.65310589242998,74.94607109528536,175.77207380338623,1,0,0
143,4,86.44702739590186,128.2891748432677,171.28141198072788,0,1,1
144,4,103.95622365891313,81.33104739879523,170.26562636280175,1,1,1
145,4,126.5681236689576,94.35068358901205,166.18519939717757,1,1,0
146,4,87.97936879553106,117.97635976253498,177.3765586068854,0,0,1
147,4,81.76612643021409,81.98724636456332,166.61493844672387,1,0,1
148,4,94.61218902862606,156.67538539960725,166.26948145697799,0,0,1
149,5,107.32368268696908,110.56510000568821,171.11262266059222,0,0,0
